ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
TEAM,TeamUP,PoS,TRUE,PoS,17818682.17,301000000,301000000.00,524
SCT,ScryptToken,Scrypt,TRUE,PoW/PoS,,8842105,8842105.00,525
LANA,LanaCoin,SHA-256D,TRUE,PoW/PoS,1082162636,7506000000,7506000000.00,526
ELE,Elementrem,Ethash,TRUE,PoW,26205539,26205539,26205539.00,527
GCC,GuccioneCoin,Scrypt,TRUE,PoW,,39760000,39760000.00,528
EQUAL,EqualCoin,X13,TRUE,PoW/PoS,,1000000000,1000000000.00,529
2BACCO,2BACCO Coin,Scrypt,TRUE,PoW/PoS,,81454545,81454545.00,530
DKC,DarkKnightCoin,Scrypt,TRUE,PoW/PoS,,24000000,24000000.00,531
COC,Community Coin,SHA-256,TRUE,PoW,,36129032,36129032.00,532
CHOOF,ChoofCoin,Scrypt,TRUE,PoW/PoS,,40000000,40000000.00,533
CSH,CashOut,SHA-256,TRUE,PoW,0,100000000,100000000.00,534
ZCL,ZClassic,Equihash,TRUE,PoW,5613550,21000000,21000000.00,535
RYCN,RoyalCoin 2.0,X13,TRUE,PoS,,2500124,2500124.00,536
PCS,Pabyosi Coin,X11,TRUE,PoW/PoS,,31500000000,31500000000.00,537
NBIT,NetBit,Scrypt,TRUE,PoW/PoS,,10500000,10.500.000,538
WINE,WineCoin,Scrypt,TRUE,PoW/PoS,,1744000000,1744000000.00,539
ARK,ARK,DPoS,TRUE,DPoS,108202084,125000000,125000000.00,540
ZECD,ZCashDarkCoin,Scrypt,TRUE,PoW,,500000000,500000000.00,541
WASH,WashingtonCoin,X11,TRUE,PoW/PoS,,170000000,170000000.00,542
LUCKY,LuckyBlocks,PoS,TRUE,PoS,,20000000,20000000.00,543
INSANE,InsaneCoin,X11,TRUE,PoW/PoS,18342813,30000000,30000000.00,544
BASH,LuckChain,Scrypt,TRUE,PoW/PoS,0,1000000000,1000000000.00,545
FAME,FameCoin,QuBit,TRUE,PoW/PoS,,50000000,50000000.00,546
LIV,LiviaCoin,Scrypt,TRUE,PoW/PoS,,1572000000,1572000000.00,547
DOGETH,EtherDoge,X11,TRUE,PoW/PoS,,18100000,18100000.00,548
KLC,KiloCoin,Scrypt,TRUE,PoW,196297971,10000000000,10000000000.00,549
HUSH,Hush,Equihash,TRUE,PoW,0,21000000,21000000.00,550
BTLC,BitLuckCoin,PoS,TRUE,PoS,,5000000000,5000000000.00,551
DRM8,Dream8Coin,Scrypt,TRUE,PoW,,88800000000,88800000000.00,552
EBZ,Ebitz,PoS,FALSE,PoS,,21000000,21000000.00,553
FGZ,Free Game Zone,Scrypt,TRUE,PoW,,44775520,44775520.00,554
BOSON,BosonCoin,X11,TRUE,PoW/PoS,,5000000000,5000000000.00,555
ATX,ArtexCoin,X11,TRUE,PoW,824000000,500000000,500000000.00,556
PNC,PlatiniumCoin,SHA-256,TRUE,PoW,,21000000,21000000.00,557
BRDD,BeardDollars,Scrypt,TRUE,PoW/PoS,,21212121,21212121.00,558
BIPC,BipCoin,CryptoNight,TRUE,PoW,,18446744,18446744.00,559
XNC,XenCoin,Scrypt,TRUE,PoW,,2100000000,2100000000.00,560
EMB,EmberCoin,X13,TRUE,PoW/PoS,92192822723,850000000,850000000.00,561
BTTF,Coin to the Future,PoS,TRUE,PoS,,1210000,1210000.00,562
DLR,DollarOnline,X11,TRUE,PoW/PoS,,1000000000,1000000000.00,563
XEN,XenixCoin,X11,TRUE,PoW/PoS,3853326.777,3853326.78,3853326.78,564
IW,iWallet,X11,TRUE,PoW/PoS,,2142857143,2142857143.00,565
FRE,FreeCoin,PoS,TRUE,PoS,50000000,50000000,50000000.00,566
NPC,NPCcoin,SHA-256D,TRUE,PoW/PoS,0,7000000000,7000000000.00,567
PLNC,PLNCoin,Scrypt,TRUE,PoW/PoS,17089600,38540000,38540000.00,568
DGMS,Digigems,Scrypt,TRUE,PoW,,50000000,50000000.00,569
ICOB,Icobid,Scrypt,TRUE,PoW/PoS,0,200000000,200000000.00,570
ARCO,AquariusCoin,Scrypt,TRUE,PoW/PoS,2449577.415,42000000,42000000.00,571
KURT,Kurrent,X11,TRUE,PoW,61364813,228000000,228000000.00,572
XCRE,Creatio,PoS,TRUE,PoS,20000000,20000000,20000000.00,573
ENT,Eternity,X11,TRUE,PoW/PoS,6069482.077,60000000,60000000.00,574
MTLM3,Metal Music v3,Scrypt,FALSE,PoW/PoS,,2500000000,2500000000.00,575
ODNT,Old Dogs New Tricks,SHA-256D,TRUE,PoW/PoS,,21000000,21000000.00,576
EUC,Eurocoin,SHA-256,TRUE,PoW/PoS,12416554,20000000,20000000.00,577
CCX,CoolDarkCoin,Scrypt,TRUE,PoW/PoS,,11052632,11052632.00,578
BCF,BitcoinFast,Scrypt,TRUE,PoW/PoS,20244023.64,33000000,33000000.00,579
SEEDS,SeedShares,SHA-256D,TRUE,PoW/PoS,,7996400,7996400.00,580
XSN,Stakenet,X11,TRUE,TPoS,75590369,76500000,76500000.00,581
BCCOIN,BitConnect Coin,Scrypt,TRUE,PoW/PoS,11080722.38,28000000,28000000.00,582
SHORTY,ShortyCoin,PoS,TRUE,PoS,,100000000,100000000.00,583
PCM,Procom,Scrypt,TRUE,PoW,,28000000,28000000.00,584
CORAL,CoralPay,X13,TRUE,PoS,,21000000,21000000.00,585
MONEY,MoneyCoin,Scrypt,TRUE,PoW/PoS,10914418,650659833,650659833.00,586
HSP,Horse Power,Scrypt,TRUE,PoW,,2900000,2900000.00,587
HZT,HazMatCoin,Scrypt,TRUE,PoW/PoS,,100000000,100000000.00,588
CRSP,CryptoSpots,DPoS,TRUE,DPoS,,0,0.00,589
ICON,Iconic,PoS,TRUE,PoS,,520000,520000.00,590
NIC,NewInvestCoin,PoS,TRUE,PoS,,47090909,47090909.00,591
ACN,AvonCoin,PoS,TRUE,PoS,,1000000000,1000000000.00,592
XNG,Enigma,X11,TRUE,PoW/PoS,814671,5000000,5000000.00,593
XCI,Cannabis Industry Coin,CryptoNight,TRUE,PoW,978145,21000000,21000000.00,594
LOOK,LookCoin,X11,TRUE,PoW/PoS,,1613150000,1613150000.00,595
MIS,MIScoin,X11,TRUE,PoW/PoS,,25000000,25000000.00,596
WOP,WorldPay,X11,TRUE,PoW/PoS,,10000000,10000000.00,597
CQST,ConquestCoin,X13,TRUE,PoW/PoS,,30000000,30000000.00,598
CHIEF,TheChiefCoin,Scrypt,TRUE,PoW/PoS,,2500000000,2500000000.00,599
RC,Russiacoin,Scrypt,TRUE,PoW/PoS,8377873,144000000,144000000.00,600
PND,PandaCoin,Scrypt,TRUE,PoS,33813143822,32514916898,32514916898.00,601
ECAD,Canada eCoin,Scrypt,TRUE,PoW,,100000000,100000000.00,602
OPTION,OptionCoin,X11,TRUE,PoS,,21000000,21000000.00,603
AV,Avatar Coin,PoS,TRUE,PoS,,10000000,10000000.00,604
LTD,Limited Coin,PoS,TRUE,PoS,,128,128.00,605
UNITS,GameUnits,Scrypt,TRUE,PoW/PoS,3472983,13000000,13000000.00,606
GAKH,GAKHcoin,Scrypt,TRUE,PoW/PoS,3315789,3315789,3315789.00,607
S8C,S88 Coin,Scrypt,TRUE,PoW/PoS,,520000000,520000000.00,608
ASAFE2,Allsafe,Quark,TRUE,PoS,10517772.74,15000000,15000000.00,609
LTCR,LiteCreed,QuBit,TRUE,PoW/PoS,30227750,78835200,78835200.00,610
XPRO,ProCoin,X15,TRUE,PoW/PoS,,6000000,6000000.00,611
ASTR,Astral,X13,TRUE,PoW/PoS,,37875500,37875500.00,612
GIFT,GiftNet,X13,TRUE,PoW,,6750000,6750000.00,613
VIDZ,PureVidz,PoS,TRUE,PoS,,125000000,125000000.00,614
INC,Incrementum,PoS,TRUE,PoS,,1300000,1300000.00,615
PTA,PentaCoin,SHA-256,TRUE,PoW/PoS,,1311955,1311955.00,616
ACID,AcidCoin,SHA-256,TRUE,PoW,,4500000000,4500000000.00,617
RNC,ReturnCoin,X11,TRUE,PoS,,250000000,250000000.00,618
TWIST,TwisterCoin,X11,TRUE,PoW/PoS,,3195000,3195000.00,619
PAYP,PayPeer,X11,TRUE,PoW/PoS,,50000000000,50000000000.00,620
LENIN,LeninCoin,SHA-256D,TRUE,PoW,,100000000,100000000.00,621
MRSA,MrsaCoin,X13,TRUE,PoW/PoS,,2100000000,2100000000.00,622
OS76,OsmiumCoin,Scrypt,TRUE,PoW,894026,2714286,2714286.00,623
BIC,Bikercoins,CryptoNight,TRUE,PoW,9357088,25000000,25000000.00,624
CRPS,CryptoPennies,X11,TRUE,PoS,,1593.15,1593.15,625
NTCC,NeptuneClassic,X11,TRUE,PoW/PoS,0,250000000,250000000.00,626
HXX,HexxCoin,Lyra2RE,TRUE,PoW,1876146.444,9999999,9999999.00,627
SPKTR,Ghost Coin,SHA-256,TRUE,PoW/PoS,,2270000,2270000.00,628
MAC,MachineCoin,Time Travel,TRUE,PoW,,35000000,35000000.00,629
SEL,SelenCoin,PoS,TRUE,PoS,,159680000,159680000.00,630
NOO,Noocoin,PoS,TRUE,PoS,,25000000,25000000.00,631
CHAO,23 Skidoo,SHA-256D,TRUE,PoW,,23,23.00,632
XGB,GoldenBird,X13,TRUE,PoW/PoS,0,450000000,450000000.00,633
YMC,YamahaCoin,Scrypt,TRUE,PoW,,315000000,315000000.00,634
JOK,JokerCoin,Scrypt,TRUE,PoW/PoS,,5000000000,5000000000.00,635
GBIT,GravityBit,Scrypt,TRUE,PoW/PoS,,5333000,5333000.00,636
TEC,TeCoin,Multiple,TRUE,PoW,,469521976,469521976.00,637
BOMBC,BombCoin,Scrypt,TRUE,PoW/PoS,,4516129032,4516129032.00,638
RIDE,Ride My Car,PoS,TRUE,PoS,0,100000000,100000000.00,639
KED,Klingon Empire Darsek,Scrypt,TRUE,PoW/PoS,23965372,500000000,500000000.00,640
IOP,Internet of People,SHA-256,TRUE,PoW/PoS,2526078.475,21000000,21000000.00,641
ELS,Elysium,Scrypt,TRUE,PoW,,18000000,18000000.00,642
KUSH,KushCoin,X11,TRUE,PoW/PoS,5659096.957,9354000,9354000.00,643
ERY,Eryllium,X11,TRUE,PoW/PoS,0,100000000,100000000.00,644
OPES,Opes,Argon2,TRUE,PoW,,52000000,52000000.00,645
RATIO,Ratio,PoS,TRUE,PoS,,100000000,100000000.00,646
SMF,SmurfCoin,Scrypt,TRUE,PoW/PoS,,2500000000,2500000000.00,647
TECH,TechCoin,X13,TRUE,PoW/PoS,,300000,300000.00,648
CIR,CircuitCoin,SHA-256D,TRUE,PoW/PoS,,3125000000,3125000000.00,649
LEPEN,LePenCoin,SHA-256,TRUE,PoS,,1000000000,1000000000.00,650
MARX,MarxCoin,X11,TRUE,PoW,0,100640000,100640000.00,651
HAZE,HazeCoin,Scrypt,TRUE,PoW,,25000000,25000000.00,652
PRX,Printerium,Scrypt,TRUE,PoW/PoS,11821728,20000000,20000000.00,653
PAC,PacCoin,X11,TRUE,PoW,536982074,1.00E+11,100000000000.00,654
IMPCH,Impeach,Scrypt,TRUE,PoW/PoS,308179,21933333,21933333.00,655
ERR,ErrorCoin,Scrypt,TRUE,PoW,,81000000,81000000.00,656
TIC,TrueInvestmentCoin,Scrypt,TRUE,PoW/PoS,,53200000,53200000.00,657
NUKE,NukeCoin,PoS,TRUE,PoS,,2778196,2778196.00,658
SFC,Solarflarecoin,Scrypt,TRUE,PoW,0,20000000,20000000.00,659
JANE,JaneCoin,X11,TRUE,PoW/PoS,,2100000000,2100000000.00,660
PARA,ParanoiaCoin,Scrypt,TRUE,PoW,,72000000,72000000.00,661
MM,MasterMint,X11,TRUE,PoS,,1500000000,1500000000.00,662
CTL,Citadel,CryptoNight-V7,TRUE,PoW,10969318.52,185000000,185000000.00,663
ZBC,Zilbercoin,Scrypt,TRUE,PoS,2922613.964,55000000,55000000.00,664
FRST,FirstCoin,Scrypt,TRUE,PoW/PoS ,110000000,110000000,110000000.00,665
ORO,OroCoin,Scrypt,TRUE,PoW,,23529412,23529412.00,666
ALEX,Alexandrite,SHA-256,TRUE,PoW/PoS,,1268000,1268000.00,667
TBCX,TrashBurn,SHA-256D,TRUE,PoS,,9000000,9000000.00,668
MCAR,MasterCar,Scrypt,TRUE,PoW/PoS,,2991837,2991837.00,669
THS,TechShares,DPoS,TRUE,DPoS,,600000000,600000000.00,670
ACES,AcesCoin,X13,TRUE,PoS,,100000000,100000000.00,671
UAEC,United Arab Emirates Coin,X11,FALSE,PoW/PoS,,10000000,10000000.00,672
EA,EagleCoin,SHA-256,TRUE,PoW,,40000000,40000000.00,673
CREA,CreativeChain,Keccak,TRUE,PoW,0,115000000,115000000.00,674
BVC,BeaverCoin,Scrypt,TRUE,PoW,3115258,3360000,3360000.00,675
FIND,FindCoin,X13,TRUE,PoS,14524851.48,14524851.48,14524851.48,676
MLITE,MeLite,SHA-256D,TRUE,PoW/PoS,,1000000,1.000.000,677
STALIN,StalinCoin,X11,TRUE,PoW/PoS,,3000000000,3000000000.00,678
TSE,TattooCoin,Scrypt,TRUE,PoW/PoS,,500000000,500000000.00,679
VLTC,VaultCoin,X11,TRUE,PoW,30385540,1000000000,1000000000.00,680
BIOB,BioBar,SHA-256D,TRUE,PoW/PoS,,60000000,60000000.00,681
ZER,Zero,Equihash,TRUE,PoW,6921653.9,17000000,17000000.00,682
CHAT,OpenChat,Scrypt,TRUE,PoW/PoS,1000000000,1000000000,1000000000.00,683
CDN,Canada eCoin,Scrypt,TRUE,PoW,99843408.32,100000000,100000000.00,684
ZOI,Zoin,Lyra2RE,TRUE,PoW,18545757.5,21000000,21000000.00,685
HONEY,Honey,Blake2S,TRUE,PoW/PoS,,7000000,7000000.00,686
MXT,MartexCoin,X13,TRUE, PoW/PoS,,5000000,5000000.00,687
MUSIC,Musicoin,Ethash,TRUE,PoW,0,454898394,454898394.00,688
VEG,BitVegan,PoS,TRUE,PoS,,600000000,600000000.00,689
MBIT,Mbitbooks,Scrypt,TRUE,PoW,,81000000,81000000.00,690
ZENI,Zennies,Scrypt,TRUE,PoS,,1000000000,1000000000.00,691
PLANET,PlanetCoin,Scrypt,TRUE,PoW/PoS,,1000000,1000000.00,692
DUCK,DuckDuckCoin,Scrypt,TRUE,PoW,,121,121.00,693
BNX,BnrtxCoin,X11,TRUE,PoW,0,210000000,210000000.00,694
RNS,RenosCoin,Scrypt,TRUE,PoS,36050365,34426423,34426423.00,695
DBIX,DubaiCoin,Dagger-Hashimoto,TRUE,PoW,2232901,2232901,2232901.00,696
XVP,VirtacoinPlus,X11,TRUE,PoW/PoS,13162749.09,100000000,100000000.00,697
BOAT,Doubloon,536,TRUE,PoW/PoS,,500000000,500000000.00,698
TAJ,TajCoin,Blake2S,TRUE,PoW/PoS,12184195.93,36900000,36900000.00,699
IMX,Impact,X11,TRUE,PoW/PoS,110630387.9,110000000,110000000.00,700
CJC,CryptoJournal,PoS,TRUE,PoS,,100000000,100000000.00,701
AMY,Amygws,Scrypt,TRUE,PoW,,23333333,23333333.00,702
QBT,Cubits,SHA-256,TRUE,PoW/PoS,,300000000,300000000.00,703
EB3,EB3coin,Scrypt,TRUE,PoW,64096052,4000000000,4000000000.00,704
XVE,The Vegan Initiative,PoS,TRUE,PoS,,50000000,50000000.00,705
APT,Aptcoin,Scrypt-n,TRUE,PoW,,42000000,42000000.00,706
BLAZR,BlazerCoin,Scrypt,TRUE,PoW,,294336000,294336000.00,707
UNI,Universe,Scrypt,TRUE,PoS,0,112000000,112000000.00,708
ECOC,ECOcoin,Scrypt,TRUE,PoW/PoS,,10733333,10733333.00,709
DARK,Dark,SHA-256,TRUE,PoW/PoS,,12800000,12800000.00,710
DON,DonationCoin,Scrypt,TRUE,PoW,,90000000,90000000.00,711
ATMOS,Atmos,PoS,TRUE,PoS,111135836.9,110290030,110290030.00,712
HPC,HappyCoin,X11,TRUE,PoW/PoS,21521322.01,100000000,100000000.00,713
CXT,Coinonat,NIST5,TRUE,PoW,10123200,48252000,48252000.00,714
MCRN,MacronCoin,PoS,TRUE,PoS,401421401,400000000,400000000.00,715
RAIN,Condensate,X11,TRUE,PoW/PoS,121665451.6,500000000,500000000.00,716
IEC,IvugeoEvolutionCoin,Scrypt,TRUE,PoW,,100000000,100000000.00,717
IMS,Independent Money System,Scrypt,TRUE,PoW/PoS,5368934,21212121,21212121.00,718
ARGUS,ArgusCoin,Scrypt,TRUE,PoW/PoS,1148324,28600000,28600000.00,719
LMC,LomoCoin,Scrypt,TRUE,PoW/PoS,500000,1000000000,1000000000.00,720
BTCS,Bitcoin Scrypt,Scrypt,TRUE,PoW,0,21000000,21000000.00,721
PROC,ProCurrency,SHA-256,TRUE,PoS,100545745,75000000000,75000000000.00,722
XGR,GoldReserve,X11,TRUE,PoW/PoS,17171382,40000000,40000000.00,723
BENJI,BenjiRolls,Scrypt,TRUE,PoW,20276099.15,35520400,35520400.00,724
DUO,ParallelCoin,Scrypt,TRUE,PoW,0,1000000,1000000.00,725
GRW,GrowthCoin,Scrypt,TRUE,PoS,295135466.4,2000000000,2000000000.00,726
ILC,ILCoin,SHA-256,TRUE,PoW,1317747500,2500000000,2500000000.00,727
PZM,Prizm,SHA-256,TRUE,PoS,,6.00E+14,600000000000000.00,728
PHR,Phreak,PoS,TRUE,PoS,11390225.97,30000000,30000000.00,729
PUPA,PupaCoin,Blake2S,TRUE,PoW/PoS,,3500000000,3500000000.00,730
RICE,RiceCoin,X13,TRUE,PoW/PoS,,10000000,10000000.00,731
XCT,C-Bits,SHA-256,TRUE,PoW,,210000000,210000000.00,732
DEA,Degas Coin,Scrypt,TRUE,PoW/PoS,21358764,105000000,105000000.00,733
ZSE,ZSEcoin,X11,TRUE,PoW/PoS,0,2093500000,2093500000.00,734
TAP,TappingCoin,X11,TRUE,PoW/PoS,,5000000000,5000000000.00,735
MUU,MilkCoin,SHA-256,TRUE,PoW/PoS ,,4500000000,4500000000.00,736
INF8,Infinium-8,CryptoNight,FALSE,PoW,,0,0.00,737
HTML5,HTML5 Coin,X15,TRUE,PoW/PoS,40659020000,90000000000,90000000000.00,738
SBSC,Subscriptio,PoS,TRUE,PoS,,10000000,10000000.00,739
USC,Ultimate Secure Cash,SHA-256,TRUE,PoS,10343113,200084200,200084200.00,740
DUX,DuxCoin,Scrypt,TRUE,PoW/PoS,,1680000000,1680000000.00,741
XPS,PoisonIvyCoin,Scrypt,TRUE,PoW/PoS,,4666666667,4666666667.00,742
EQT,EquiTrader,Scrypt,TRUE,PoW,13673406.43,72000000,72000000.00,743
MNTC,Manet Coin,Scrypt,TRUE,PoW/PoS,,215000000,215000000.00,744
HAMS,HamsterCoin,Scrypt,TRUE,PoW,,20000000,20000000.00,745
QTUM,QTUM,POS 3.0,TRUE,PoS,100000000,100000000,100000000.00,746
NEF,NefariousCoin,Scrypt,TRUE,PoW/PoS,,4835000000,4835000000.00,747
QRL,Quantum Resistant Ledger,CryptoNight-V7,TRUE,PoW,69036016.83,105000000,105000000.00,748
ESP,Espers,536,TRUE,PoW/PoS,22801882871,50000000000,50000000000.00,749
DYN,Dynamic,Argon2d,TRUE,PoW,19784224.65,0,0.00,750
NANO,Nano,Blake2b,TRUE,PoW,133248297,340282367,340282367.00,751
CHAN,ChanCoin,Cloverhash,TRUE,PoW,18407259.09,30000000,30000000.00,752
DCY,Dinastycoin,CryptoNight,TRUE,PoW,1809467143,2000000000,2000000000.00,753
DNR,Denarius,NIST5,TRUE,PoW/PoS,4171382,10000000,10000000.00,754
DP,DigitalPrice,X11,TRUE,PoW,35138975,100000000,100000000.00,755
VUC,Virta Unique Coin,NIST5,TRUE,PoW/PoS,62942075,120000000,120000000.00,756
BTPL,Bitcoin Planet,Skein,TRUE,PoW/PoS,6804362,100000000,100000000.00,757
UNIFY,Unify,Scrypt,TRUE,PoW,18133195,19276800,19276800.00,758
BRIT,BritCoin,X13,TRUE,PoW/PoS,21268092,30000000,30000000.00,759
SOCC,SocialCoin,Scrypt,TRUE,PoW,5167775,75000000,75000000.00,760
OTX,Octanox,X11,TRUE,PoW/PoS,0,7905634,7905634.00,761
ARC,ArcticCoin,X11,TRUE,PoW,26042364.37,60000000,60000000.00,762
BOG,Bogcoin,SHA-256,TRUE,PoW,,21212121,21212121.00,763
SAND,BeachCoin,X11,TRUE,PoW,,21000000,21000000.00,764
DAS,DAS,X11,TRUE,PoW,2622886,18900000,18900000.00,765
LINDA,Linda,Scrypt,TRUE,PoW/PoS,9044930943,50000000000,50000000000.00,766
XLC,LeviarCoin,CryptoNight,TRUE,PoW,14161803,54000000,54000000.00,767
ONION,DeepOnion,X13,TRUE,PoW/PoS,21917018.05,18898187.62,18898187.62,768
BTX,Bitcore,Time Travel,TRUE,PoW,17801865.16,21000000,21000000.00,769
GCN,gCn Coin,Scrypt,TRUE,PoW,1.63E+11,2.00E+11,200000000000.00,770
SMART,SmartCash,Keccak,TRUE,PoW,2241009149,5000000000,5000000000.00,771
SIGT,Signatum,SkunkHash v2 Raptor,TRUE,PoS,107972766,137500000,137500000.00,772
ONX,Onix,X11,TRUE,PoW,122475638.4,1100000000,1100000000.00,773
WINK,Wink,PoS,TRUE,PoS,,80000000,80000000.00,774
CRM,Cream,Skein,TRUE,PoW/PoS,47331802.48,100000000,100000000.00,775
